0.2682,0.017014,0.99157,0.95951,0.049556,0.94399,0.013887
0.74442,0.3838,0.49336,0.23013,0.91313,0.3372,0.20842
0.82395,0.12185,0.6463,0.19696,0.83772,0.05045,0.86461
0.20552,0.15059,0.18501,0.51925,0.2757,0.96675,0.6611
0.36166,0.9392,0.029239,0.98107,0.94272,0.41562,0.95872
0.69877,0.57615,0.86657,0.89542,0.69604,0.43667,0.43399
0.97685,0.86319,0.75626,0.37152,0.75488,0.64546,0.55787
0.052407,0.24231,0.072601,0.55476,0.87869,0.027962,0.97703
0.90743,0.21372,0.81661,0.0040507,0.033538,0.98052,0.81366
0.99825,0.072178,0.6631,0.90486,0.36173,0.34401,0.72771
0.60041,0.13204,0.13756,0.99254,0.55877,0.073512,0.58133
0.52007,0.66439,0.7921,0.4743,0.77452,0.71104,0.63789
0.15993,0.36889,0.27763,0.645,0.47124,0.89653,0.218
0.23587,0.25396,0.58067,0.24662,0.49196,0.66992,0.25544
0.65829,0.33301,0.62258,0.84864,0.19501,0.76693,0.38445
0.79749,0.72759,0.2632,0.84129,0.40632,0.46389,0.015579
0.6774,0.35027,0.87972,0.88565,0.81289,0.20113,0.89627
0.25641,0.53314,0.85238,0.91473,0.82125,0.12356,0.066736
0.40724,0.50768,0.42489,0.16266,0.5221,0.63102,0.84886
0.77867,0.29973,0.7234,0.68211,0.89895,0.79167,0.77755
0.38601,0.92293,0.19052,0.11903,0.55479,0.47203,0.9527
0.13904,0.41169,0.51796,0.9501,0.79392,0.19435,0.70892
0.89402,0.21956,0.067645,0.2986,0.59188,0.68022,0.47127
0.72276,0.47597,0.71336,0.04519,0.37709,0.39903,0.91457
0.0022861,0.097664,0.25436,0.57558,0.75724,0.37144,0.28349
0.21759,0.060517,0.77548,0.017177,0.6727,0.94266,0.76485
0.59817,0.30474,0.097099,0.74535,0.95304,0.070997,0.99474
0.12732,0.76799,0.39587,0.17174,0.53174,0.51949,0.1768
0.84828,0.58902,0.68075,0.93563,0.4144,0.49948,0.19173
0.30666,0.047326,0.10788,0.71763,0.10706,0.13373,0.50593
0.70481,0.73888,0.95045,0.58888,0.39046,0.24144,0.90767
0.86131,0.81778,0.05435,0.65748,0.14498,0.24572,0.48144
0.47157,0.79342,0.36854,0.70291,0.9221,0.87315,0.3064
0.50404,0.0048393,0.43745,0.13392,0.21461,0.45503,0.75557
0.033173,0.8932,0.12227,0.50077,0.23467,0.54374,0.24056
