2.2323,-4.6503,-5.5091,-2.6098,-0.50811,0.16273,-5.5139,-2.1039
2.284,-4.6807,-5.5091,-2.6304,-0.5241,0.14302,-5.5139,-2.1147
2.3058,-4.706,-5.5091,-2.637,-0.53876,0.13569,-5.5139,-2.1177
2.3297,-4.702,-5.5091,-2.6634,-0.54553,0.12756,-5.5139,-2.1317
2.3465,-4.6784,-5.5091,-2.675,-0.55782,0.12643,-5.5139,-2.1484
2.3864,-4.7113,-5.5091,-2.6915,-0.56744,0.11036,-5.5139,-2.1623
2.464,-4.734,-5.5091,-2.7383,-0.59663,0.096483,-5.514,-2.1877
2.4209,-4.915,-5.5091,-2.7086,-0.58381,0.096926,-5.5139,-2.157
2.4211,-4.8978,-5.5091,-2.7024,-0.57778,0.086069,-5.514,-2.1586
2.4277,-4.931,-5.5091,-2.7053,-0.589,0.083599,-5.5139,-2.1534
2.3734,-4.8579,-5.5091,-2.6929,-0.56954,0.088469,-5.514,-2.1431
2.403,-4.8915,-5.5091,-2.703,-0.57565,0.07485,-5.514,-2.1556
2.3543,-5.4996,-5.5091,-2.6478,-0.56155,0.073411,-5.514,-2.0947
2.4154,-5.1386,-5.5091,-2.7054,-0.57588,0.05727,-5.514,-2.1335
2.4427,-5.0633,-5.5091,-2.7216,-0.58537,0.051053,-5.514,-2.1607
2.4988,-4.9673,-5.5091,-2.7493,-0.60392,0.040494,-5.514,-2.2015
2.4995,-4.9485,-5.5091,-2.7533,-0.60383,0.041072,-5.514,-2.2264
2.5324,-4.9983,-5.5091,-2.7628,-0.61922,0.031973,-5.514,-2.2311
2.536,-5.1441,-5.5091,-2.7561,-0.61689,0.0245,-5.514,-2.2307
2.148,-5.5006,-5.5091,-2.5845,-0.52995,0.12367,-5.514,-2.1125
2.1592,-5.5006,-5.5091,-2.595,-0.53228,0.11426,-5.514,-2.1126
2.2055,-5.5006,-5.5091,-2.6027,-0.54328,0.11171,-5.514,-2.1689
2.1565,-5.5006,-5.5091,-2.5859,-0.52942,0.12218,-5.514,-2.173
2.1875,-5.5006,-5.5091,-2.614,-0.53391,0.11327,-5.514,-2.1914
2.1995,-5.5006,-5.5091,-2.6355,-0.53468,0.11143,-5.514,-2.2105
2.2367,-5.5006,-5.5091,-2.6541,-0.55111,0.10384,-5.514,-2.2208
2.2638,-5.5006,-5.5091,-2.674,-0.5574,0.099324,-5.514,-2.2466
2.2651,-5.5005,-5.5091,-2.6862,-0.55853,0.10038,-5.514,-2.2529
2.2507,-5.5006,-5.5091,-2.6902,-0.5549,0.10017,-5.514,-2.2494
2.2645,-5.5006,-5.5091,-2.706,-0.55094,0.099498,-5.514,-2.2744
2.2803,-5.5006,-5.5091,-2.7114,-0.55445,0.090102,-5.514,-2.2804
2.2743,-5.5006,-5.5091,-2.7078,-0.55239,0.084995,-5.514,-2.2739
2.3169,-5.5006,-5.5091,-2.7266,-0.5665,0.074793,-5.514,-2.2909
2.3212,-5.5006,-5.5091,-2.7374,-0.57293,0.073944,-5.514,-2.29
2.3261,-5.5006,-5.5091,-2.7382,-0.57549,0.071059,-5.514,-2.3011
2.3611,-5.5006,-5.5091,-2.7571,-0.58267,0.05866,-5.514,-2.3112
2.4266,-5.3752,-5.4983,-2.7891,-0.60074,0.046872,-5.4942,-2.3525
2.4003,-5.5005,-5.5091,-2.7746,-0.59294,0.051051,-5.514,-2.3548
2.4311,-5.5006,-5.5091,-2.7913,-0.59844,0.042276,-5.514,-2.3719
2.4124,-5.5006,-5.5091,-2.7768,-0.59746,0.043034,-5.514,-2.3675
2.4011,-5.5006,-5.5091,-2.7736,-0.5929,0.042548,-5.514,-2.375
2.3838,-5.5005,-5.5091,-2.7652,-0.58642,0.039448,-5.514,-2.3724
2.3433,-5.5006,-5.5091,-2.7528,-0.57591,0.048063,-5.514,-2.3748
2.3834,-5.5006,-5.5091,-2.7736,-0.58927,0.037877,-5.514,-2.3848
2.3702,-5.5006,-5.5091,-2.7766,-0.59038,0.04618,-5.514,-2.392
2.3739,-5.5006,-5.5091,-2.7786,-0.58945,0.043121,-5.514,-2.4058
2.3844,-5.5006,-5.5091,-2.7886,-0.58653,0.040515,-5.514,-2.4299
2.4173,-5.5006,-5.5091,-2.8031,-0.5966,0.032731,-5.514,-2.4458
2.4188,-5.5005,-5.5091,-2.807,-0.59731,0.030127,-5.514,-2.4476
