"x" "y" "z" "ulos"
"1" 354875 7658925 1386.46350097656 0.0021380428224802
"2" 354875 7652525 1866.23461914062 0.00437075598165393
"3" 354875 7646125 1585.44946289062 0.00430504744872451
"4" 354875 7639725 628.367065429688 0.00231005321256816
"5" 361275 7658925 1718.29724121094 0.00292335776612163
"6" 359675 7654125 2366.62231445312 0.00877413060516119
"7" 358475 7652125 1711.63537597656 0.00882282387465239
"8" 358475 7651325 1933.98962402344 0.00948241073638201
"9" 358475 7650525 2007.04565429688 0.00987619999796152
"10" 358475 7649725 1308.55432128906 0.00973957125097513
"11" 358475 7648925 1506.48693847656 0.00972745381295681
"12" 358475 7648125 1625.34155273438 0.00943703763186932
"13" 358875 7646925 1561.75061035156 0.00932806357741356
"14" 359675 7644525 700.651000976562 0.00726688979193568
"15" 361275 7639725 595.61328125 0.00322912633419037
"16" 359275 7652125 2314.64453125 0.0107936915010214
"17" 359275 7651325 2306.62719726562 0.0115911886096001
"18" 359275 7650525 1935.734375 0.012051809579134
"19" 359275 7649725 1901.41882324219 0.0122118284925818
"20" 359275 7648925 2101.67749023438 0.0120521914213896
"21" 359275 7648125 2031.02734375 0.0115234209224582
"22" 360075 7652125 2361.86669921875 0.0131418677046895
"23" 360075 7651325 2258.97778320312 0.0142985256388783
"24" 360075 7650525 2345.62524414062 0.0150131117552519
"25" 360075 7649725 2366.271484375 0.0152098769322038
"26" 360075 7648925 2347.75219726562 0.0148822134360671
"27" 360075 7648125 1682.365234375 0.0140253156423569
"28" 360075 7647325 1037.78552246094 0.0124611500650644
"29" 360075 7646525 1017.08184814453 0.0111341429874301
"30" 360875 7652125 2266.32373046875 0.0162668265402317
"31" 360875 7651325 2269.00805664062 0.0179912205785513
"32" 360875 7650525 2268.03759765625 0.019078616052866
"33" 360875 7649725 2094.58203125 0.0194303076714277
"34" 360875 7648925 2148.07861328125 0.0188156850636005
"35" 360875 7648125 1636.15893554688 0.0175094623118639
"36" 360875 7647325 1210.26892089844 0.0154395373538136
"37" 360875 7646525 1037.66845703125 0.0133172310888767
"38" 361675 7655325 2262.60302734375 0.00903851259499788
"39" 361675 7654525 1848.98388671875 0.0111884828656912
